Input Length,Hidden Combinations,NATM_type,NAM_activation,Dropout,R^2,RMSE,MAE,SMAPE
8,[32],Feature,linear,0.1,0.89914,14.70178,9.09041,0.22794
8,[32],Independent,linear,0.1,0.90412,14.33379,8.46583,0.2167
8,[32],Time,linear,0.1,0.89786,14.79435,9.12498,0.23001
8,[128],Feature,linear,0.1,0.90612,14.1835,8.44034,0.22271
8,[128],Independent,linear,0.1,0.90907,13.95916,7.86301,0.21148
8,[128],Time,linear,0.1,0.90723,14.09968,8.2932,0.22205
8,"[32, 32]",Feature,linear,0.1,0.89703,14.85487,9.32901,0.23916
8,"[32, 32]",Independent,linear,0.1,0.89481,15.01389,9.01272,0.22253
8,"[32, 32]",Time,linear,0.1,0.8991,14.70433,8.91417,0.22554
8,"[128, 32]",Feature,linear,0.1,0.90331,14.3943,8.52666,0.21296
8,"[128, 32]",Independent,linear,0.1,0.87903,16.10071,10.38514,0.25202
8,"[128, 32]",Time,linear,0.1,0.89414,15.0613,9.40576,0.23697
8,"[128, 128]",Feature,linear,0.1,0.90923,13.94668,8.25548,0.21097
8,"[128, 128]",Independent,linear,0.1,0.8999,14.64529,8.41114,0.21279
8,"[128, 128]",Time,linear,0.1,0.88873,15.44195,9.65499,0.23103
8,"[32, 32, 32]",Feature,linear,0.1,0.87314,16.48796,10.92934,0.26203
8,"[32, 32, 32]",Independent,linear,0.1,0.88683,15.57292,9.91629,0.23811
8,"[32, 32, 32]",Time,linear,0.1,0.87517,16.35559,10.69637,0.26515
8,"[128, 32, 32]",Feature,linear,0.1,0.9029,14.42505,8.83408,0.22238
8,"[128, 32, 32]",Independent,linear,0.1,0.89822,14.7685,9.02607,0.23559
8,"[128, 32, 32]",Time,linear,0.1,0.88101,15.96815,10.6526,0.26074
8,"[128, 128, 32]",Feature,linear,0.1,0.90461,14.29759,8.53331,0.21296
8,"[128, 128, 32]",Independent,linear,0.1,0.89597,14.93104,8.92171,0.22329
8,"[128, 128, 32]",Time,linear,0.1,0.89189,15.22084,9.43292,0.23113
8,"[128, 128, 128]",Feature,linear,0.1,0.89019,15.34036,9.77196,0.24954
8,"[128, 128, 128]",Independent,linear,0.1,0.87486,16.37587,10.9944,0.26994
8,"[128, 128, 128]",Time,linear,0.1,0.90614,14.18261,8.44373,0.22458
16,[32],Feature,linear,0.1,0.9103,13.86887,8.22699,0.21525
16,[32],Independent,linear,0.1,0.90587,14.20737,8.68882,0.22384
16,[32],Time,linear,0.1,0.90505,14.26959,8.74584,0.22218
16,[128],Feature,linear,0.1,0.91387,13.59011,8.27485,0.22185
16,[128],Independent,linear,0.1,0.91413,13.5698,7.92064,0.21112
16,[128],Time,linear,0.1,0.91089,13.82372,8.40886,0.22713
16,"[32, 32]",Feature,linear,0.1,0.90094,14.57454,9.31173,0.23764
16,"[32, 32]",Independent,linear,0.1,0.8992,14.70208,9.31382,0.23432
16,"[32, 32]",Time,linear,0.1,0.89652,14.89636,9.58163,0.23451
16,"[128, 32]",Feature,linear,0.1,0.90287,14.43237,8.48993,0.22279
