input_length,nam_hidden_sizes,natm_type,nam_activation,dropout,R2,RMSE,MAE,SMAPE
8,[128],Feature,linear,0.0,0.911332965883508,13.78434,8.1012945,0.2199215
8,[128],Feature,linear,0.1,0.904745926238569,14.287186,8.504547,0.22055353
8,[128],Feature,exu,0.0,0.885333201841281,15.675585,9.637764,0.24741659
8,[128],Feature,exu,0.1,0.884372399782198,15.74112,9.243646,0.22509648
8,[128],Independent,linear,0.0,0.910693476397918,13.83396,8.187133,0.21907325
8,[128],Independent,linear,0.1,0.909845358070066,13.899492,7.8118606,0.2066599
8,[128],Independent,exu,0.0,0.86727854099205,16.864578,9.384831,0.22330986
8,[128],Independent,exu,0.1,0.87172670479525,16.579561,8.856825,0.22163104
8,[128],Time,linear,0.0,0.905527944858829,14.228416,8.498292,0.2206192
8,[128],Time,linear,0.1,0.905314430394,14.244487,8.360417,0.22097702
8,[128],Time,exu,0.0,0.88485170888566,15.708461,8.36554,0.22480597
8,[128],Time,exu,0.1,0.874511313425926,16.398615,8.586545,0.2362273
16,[128],Feature,linear,0.0,0.916687004764669,13.366273,7.9156966,0.21524729
16,[128],Feature,linear,0.1,0.914698662042141,13.524832,7.7146177,0.2089285
16,[128],Feature,exu,0.0,0.892916788543062,15.153559,8.758031,0.22527891
16,[128],Feature,exu,0.1,0.889563439972767,15.388999,8.700115,0.22261831
16,[128],Independent,linear,0.0,0.916055321657479,13.416849,7.758008,0.21233135
16,[128],Independent,linear,0.1,0.917099912573412,13.333109,7.676272,0.20957494
16,[128],Independent,exu,0.0,0.874176063202802,16.426142,9.154652,0.2455603
16,[128],Independent,exu,0.1,0.876489103056188,16.27446,8.64319,0.2317365
16,[128],Time,linear,0.0,0.904346035007721,14.322059,9.080025,0.23232946
16,[128],Time,linear,0.1,0.912064293343117,13.732087,7.9675937,0.21062255
16,[128],Time,exu,0.0,0.886278836758033,15.616172,8.393585,0.22401278
16,[128],Time,exu,0.1,0.88398282652341,15.773027,8.253962,0.2330033
24,[128],Feature,linear,0.0,0.919108732883235,13.176112,7.721001,0.20882963
24,[128],Feature,linear,0.1,0.917928332715148,13.271899,7.7704496,0.2117549
24,[128],Feature,exu,0.0,0.893791917377036,15.097855,8.994219,0.22378634
24,[128],Feature,exu,0.1,0.875324288580434,16.357893,10.504976,0.27912083
24,[128],Independent,linear,0.0,0.922491031823491,12.897705,7.3117113,0.20198128
24,[128],Independent,linear,0.1,0.918839202847066,13.198045,7.314349,0.19819155
24,[128],Independent,exu,0.0,0.879600214448151,16.074938,8.8870325,0.24067198
24,[128],Independent,exu,0.1,0.870657006315399,16.661263,9.419754,0.2718616
24,[128],Time,linear,0.0,0.914894362820147,13.514987,8.126432,0.21570751
24,[128],Time,linear,0.1,0.916283195531667,13.404258,7.8408713,0.21180253
24,[128],Time,exu,0.0,0.870412297645032,16.677017,9.4661455,0.24773909
24,[128],Time,exu,0.1,0.858765496059256,17.410324,10.893052,0.2704954
