Date,Price,Load_F,Gen_F_Tot,Gen_F_Sol,Gen_F_W_OFF,Gen_F_W_ON
2020-01-01 00:00:00,41.88,45898.75,38023.0,0.0,723.5,5781.0
2020-01-01 01:00:00,38.6,43864.25,36927.0,0.0,1038.0,5859.0
2020-01-01 02:00:00,36.55,42938.0,36453.0,0.0,1492.25,5987.25
2020-01-01 03:00:00,32.32,42835.75,36473.0,0.0,1893.75,6058.75
2020-01-01 04:00:00,30.85,42953.0,36266.0,0.0,2091.75,5973.25
2020-01-01 05:00:00,30.14,42601.75,36293.0,0.0,2109.5,5659.0
2020-01-01 06:00:00,30.17,41070.0,36286.0,0.0,2033.5,5423.0
2020-01-01 07:00:00,30.0,42338.5,37142.0,0.0,2005.0,5240.25
2020-01-01 08:00:00,30.65,44982.5,38964.0,328.75,2109.0,5118.25
2020-01-01 09:00:00,30.65,47804.75,42806.0,2703.25,2270.0,5011.5
2020-01-01 10:00:00,30.27,49729.25,46073.0,5784.25,2496.5,4731.25
2020-01-01 11:00:00,30.34,51545.0,49168.0,8050.0,2820.0,4320.0
2020-01-01 12:00:00,30.99,51538.25,50655.0,8945.5,3155.25,3991.75
2020-01-01 13:00:00,30.04,50148.75,49253.0,8175.75,3397.0,3945.5
2020-01-01 14:00:00,30.75,49136.0,46330.0,5655.75,3550.5,4292.5
2020-01-01 15:00:00,32.11,49167.5,43646.0,2147.5,3705.75,4816.5
2020-01-01 16:00:00,35.98,50324.5,43085.0,97.75,3863.75,5622.0
2020-01-01 17:00:00,40.4,53513.75,47640.0,0.0,4018.75,6695.25
2020-01-01 18:00:00,44.05,54915.5,50642.0,0.0,4135.5,7761.5
2020-01-01 19:00:00,43.15,54401.25,51755.0,0.0,4108.25,8551.25
2020-01-01 20:00:00,43.45,52709.0,50987.0,0.0,4012.75,8805.5
2020-01-01 21:00:00,40.68,51354.0,48105.0,0.0,3997.25,8740.25
2020-01-01 22:00:00,40.27,50756.0,46866.0,0.0,4140.5,8528.5
2020-01-01 23:00:00,34.85,48039.0,45905.0,0.0,4403.25,8379.0
2020-01-02 00:00:00,35.4,46393.75,43068.0,0.0,4101.25,7172.25
2020-01-02 01:00:00,31.98,44778.0,42014.0,0.0,4363.75,7020.0
2020-01-02 02:00:00,30.5,44412.0,41618.0,0.0,4615.5,7164.5
2020-01-02 03:00:00,28.79,44701.5,41170.0,0.0,4762.5,7311.5
2020-01-02 04:00:00,28.42,45730.75,40203.0,0.0,4852.75,7580.0
2020-01-02 05:00:00,28.75,48781.5,42916.0,0.0,4947.0,7995.5
2020-01-02 06:00:00,34.16,55058.5,46154.0,0.0,5101.5,8565.0
2020-01-02 07:00:00,42.07,60023.25,51980.0,0.0,5353.25,9079.75
2020-01-02 08:00:00,44.89,62159.75,55787.0,391.25,5563.75,9535.25
2020-01-02 09:00:00,45.26,62710.0,58581.0,2876.25,5735.75,9847.25
2020-01-02 10:00:00,45.57,63218.25,60675.0,5741.25,5884.75,9674.0
2020-01-02 11:00:00,45.09,63554.25,60772.0,7681.0,5982.75,9287.5
2020-01-02 12:00:00,45.16,63297.5,60658.0,8206.75,6052.0,9091.75
2020-01-02 13:00:00,44.9,62573.75,59782.0,7237.0,6121.5,9192.0
2020-01-02 14:00:00,44.06,61901.5,57515.0,4883.5,6165.75,9855.75
2020-01-02 15:00:00,44.84,61597.0,55500.0,1825.75,6201.25,11091.5
2020-01-02 16:00:00,44.4,62173.0,55975.0,83.25,6267.0,12814.0
2020-01-02 17:00:00,46.05,64362.5,59898.0,0.0,6312.75,14790.5
2020-01-02 18:00:00,46.72,64282.75,62348.0,0.0,6346.75,16687.25
2020-01-02 19:00:00,45.26,62946.5,61986.0,0.0,6365.5,18198.25
2020-01-02 20:00:00,39.32,59826.25,60309.0,0.0,6413.25,19421.0
2020-01-02 21:00:00,34.06,57041.25,59402.0,0.0,6451.0,20518.5
2020-01-02 22:00:00,32.22,54867.0,58098.0,0.0,6483.0,21274.5
2020-01-02 23:00:00,24.99,51688.25,54805.0,0.0,6455.75,22175.5
2020-01-03 00:00:00,21.47,50215.25,53537.0,0.0,6520.25,21802.5
2020-01-03 01:00:00,13.04,48414.5,53256.0,0.0,6536.5,22811.25
2020-01-03 02:00:00,1.53,47588.5,53098.0,0.0,6546.0,23684.25
2020-01-03 03:00:00,0.14,47681.75,53693.0,0.0,6556.5,24459.75
2020-01-03 04:00:00,0.85,48381.5,55062.0,0.0,6562.5,25152.75
2020-01-03 05:00:00,9.92,50684.25,56481.0,0.0,6570.75,25690.75
2020-01-03 06:00:00,24.48,55933.5,60627.0,0.0,6532.0,26454.0
2020-01-03 07:00:00,26.68,61543.5,66627.0,0.0,6472.5,26982.25
2020-01-03 08:00:00,28.81,64390.5,70064.0,230.0,6293.0,27405.0
2020-01-03 09:00:00,29.28,64600.0,70425.0,1513.25,5997.25,27739.75
2020-01-03 10:00:00,28.85,65091.25,70683.0,3035.5,5494.0,27927.75
2020-01-03 11:00:00,31.8,65296.25,71035.0,4017.75,4893.75,27893.75
2020-01-03 12:00:00,37.94,64860.75,71324.0,4029.5,4556.5,27609.75
2020-01-03 13:00:00,37.9,63450.25,69299.0,3219.25,4740.0,27007.75
2020-01-03 14:00:00,38.11,62181.75,67532.0,1957.5,4969.5,26602.75
2020-01-03 15:00:00,37.91,61714.0,67192.0,721.5,5187.25,26627.0
2020-01-03 16:00:00,38.44,62361.25,68551.0,42.5,5440.25,26566.0
2020-01-03 17:00:00,40.47,64374.5,69585.0,0.0,5501.75,26093.25
2020-01-03 18:00:00,41.35,64155.75,70347.0,0.0,5517.0,25615.5
2020-01-03 19:00:00,33.37,62629.25,68100.0,0.0,5624.25,24925.5
2020-01-03 20:00:00,28.89,59256.75,64185.0,0.0,5896.5,24003.25
2020-01-03 21:00:00,27.7,56426.0,61276.0,0.0,6137.5,23518.5
2020-01-03 22:00:00,25.7,54805.5,59723.0,0.0,6327.5,23414.0
2020-01-03 23:00:00,22.04,51822.75,56732.0,0.0,6441.75,23673.5
2020-01-04 00:00:00,22.9,51288.75,54851.0,0.0,6450.75,23089.5
2020-01-04 01:00:00,15.95,49513.75,53955.0,0.0,6489.5,22769.5
2020-01-04 02:00:00,16.63,48557.25,53476.0,0.0,6504.5,22915.75
2020-01-04 03:00:00,6.45,48270.5,53201.0,0.0,6509.25,23263.25
2020-01-04 04:00:00,3.83,48596.5,53590.0,0.0,6499.75,23989.0
2020-01-04 05:00:00,0.12,48616.25,55235.0,0.0,6490.25,25125.75
2020-01-04 06:00:00,0.07,48894.0,57549.0,0.0,6440.5,26628.0
2020-01-04 07:00:00,19.07,50992.5,60636.0,0.0,6417.0,27965.0
2020-01-04 08:00:00,17.49,54282.0,64444.0,135.25,6421.5,29105.75
2020-01-04 09:00:00,23.98,56519.25,68027.0,1086.25,6413.5,30217.75
2020-01-04 10:00:00,8.8,57481.25,68530.0,2343.5,6357.0,31376.25
2020-01-04 11:00:00,17.95,58357.75,70540.0,3025.5,6228.75,32387.0
2020-01-04 12:00:00,19.5,58470.0,71101.0,3055.5,6009.25,33074.75
2020-01-04 13:00:00,13.74,57157.5,69624.0,2646.0,5880.5,33169.75
2020-01-04 14:00:00,17.42,56001.25,67761.0,1743.0,5814.25,32678.0
2020-01-04 15:00:00,20.38,55912.5,65571.0,664.25,5694.5,31680.5
2020-01-04 16:00:00,25.08,57196.25,65980.0,48.25,5420.5,30263.75
2020-01-04 17:00:00,28.88,60151.5,67162.0,0.0,5001.0,28570.75
2020-01-04 18:00:00,32.02,60864.5,66428.0,0.0,4464.0,26846.75
2020-01-04 19:00:00,35.35,59450.25,64753.0,0.0,3790.75,24974.0
2020-01-04 20:00:00,29.98,56355.25,60236.0,0.0,3126.75,22944.25
2020-01-04 21:00:00,34.46,54189.25,55874.0,0.0,2538.0,20783.25
2020-01-04 22:00:00,39.75,53628.75,53805.0,0.0,2044.5,18373.5
2020-01-04 23:00:00,37.95,51001.75,49852.0,0.0,1642.5,16192.25
2020-01-05 00:00:00,33.1,43287.75,47092.0,0.0,1515.75,14233.0
2020-01-05 01:00:00,32.28,41414.75,44052.0,0.0,1282.5,12209.0
