Date,Price,Load_F,Gen_F_Tot,Gen_F_Sol,Gen_F_W_OFF,Gen_F_W_ON
2020-01-01 00:00:00,41.88,9562.5,7752.0,0.0,184.0,190.5
2020-01-01 01:00:00,38.6,9317.5,7320.0,0.0,165.75,178.0
2020-01-01 02:00:00,36.55,9083.0,7165.0,0.0,158.25,179.25
2020-01-01 03:00:00,32.32,8996.25,7039.0,0.0,166.25,192.0
2020-01-01 04:00:00,30.85,9073.0,7235.0,0.0,168.0,212.25
2020-01-01 05:00:00,30.14,9422.0,7923.0,0.0,166.0,234.0
2020-01-01 06:00:00,30.17,10291.75,8698.0,0.0,161.0,243.25
2020-01-01 07:00:00,30.0,11650.25,9218.0,0.0,159.5,260.5
2020-01-01 08:00:00,30.65,12739.5,9828.0,94.0,158.0,277.5
2020-01-01 09:00:00,30.65,13045.25,10139.0,341.0,143.25,269.0
2020-01-01 10:00:00,30.27,13106.75,10361.0,528.25,117.5,228.75
2020-01-01 11:00:00,30.34,12857.5,10352.0,591.5,107.25,192.0
2020-01-01 12:00:00,30.99,12763.0,10573.0,567.5,100.5,179.5
2020-01-01 13:00:00,30.04,12760.5,10632.0,452.25,107.25,199.5
2020-01-01 14:00:00,30.75,12999.25,10688.0,266.75,120.25,219.75
2020-01-01 15:00:00,32.11,13173.25,10860.0,93.75,135.5,245.75
2020-01-01 16:00:00,35.98,13382.75,10862.0,14.25,155.0,290.25
2020-01-01 17:00:00,40.4,13813.25,10989.0,0.0,195.0,353.25
2020-01-01 18:00:00,44.05,13123.75,11240.0,0.0,244.0,415.5
2020-01-01 19:00:00,38.69,12605.25,11117.0,0.0,263.5,434.75
2020-01-01 20:00:00,42.62,12108.25,10679.0,0.0,266.5,466.25
2020-01-01 21:00:00,40.68,11530.25,10215.0,0.0,271.25,489.75
2020-01-01 22:00:00,39.68,10914.75,9960.0,0.0,264.25,498.25
2020-01-01 23:00:00,31.47,10292.25,9547.0,0.0,237.25,485.0
2020-01-02 00:00:00,35.4,9863.0,8721.0,0.0,242.5,388.75
2020-01-02 01:00:00,31.98,9552.5,8487.0,0.0,249.75,385.75
2020-01-02 02:00:00,30.5,9312.5,8258.0,0.0,277.0,423.75
2020-01-02 03:00:00,28.79,9235.75,8086.0,0.0,318.0,487.5
2020-01-02 04:00:00,28.42,9206.75,8096.0,0.0,365.0,532.25
2020-01-02 05:00:00,28.75,9475.75,8037.0,0.0,400.75,573.0
2020-01-02 06:00:00,34.16,10271.0,8458.0,0.0,435.5,636.0
2020-01-02 07:00:00,42.07,11559.5,9309.0,0.0,468.5,663.5
2020-01-02 08:00:00,44.89,12597.5,9906.0,35.5,494.5,678.25
2020-01-02 09:00:00,45.26,12854.0,10134.0,138.25,514.25,721.5
2020-01-02 10:00:00,45.57,12710.25,10503.0,247.25,540.75,809.5
2020-01-02 11:00:00,45.09,12434.5,10739.0,307.5,550.5,888.25
2020-01-02 12:00:00,45.16,12223.5,10732.0,295.75,562.75,957.25
2020-01-02 13:00:00,44.9,12296.25,10759.0,226.5,600.0,1057.75
2020-01-02 14:00:00,44.06,12526.75,10866.0,134.75,641.0,1172.0
2020-01-02 15:00:00,43.63,12796.5,10974.0,56.0,689.75,1289.5
2020-01-02 16:00:00,44.39,13108.25,10968.0,11.75,746.25,1468.25
2020-01-02 17:00:00,46.05,13381.0,11041.0,0.0,781.5,1663.25
2020-01-02 18:00:00,46.72,12654.0,11098.0,0.0,792.25,1835.75
2020-01-02 19:00:00,44.62,12112.5,10919.0,0.0,795.0,1964.0
2020-01-02 20:00:00,34.9,11670.75,10498.0,0.0,793.25,2080.0
2020-01-02 21:00:00,34.19,11107.25,9883.0,0.0,792.25,2172.25
2020-01-02 22:00:00,32.39,10416.75,9168.0,0.0,795.75,2217.75
2020-01-02 23:00:00,28.83,9882.75,8303.0,0.0,801.25,2277.0
2020-01-03 00:00:00,27.44,9520.5,7695.0,0.0,789.5,2035.75
2020-01-03 01:00:00,27.7,9265.5,7314.0,0.0,791.0,2075.0
2020-01-03 02:00:00,27.51,9037.5,7206.0,0.0,791.0,2095.25
2020-01-03 03:00:00,24.79,8983.5,6953.0,0.0,791.75,2111.25
2020-01-03 04:00:00,22.4,9068.25,7029.0,0.0,791.0,2121.0
2020-01-03 05:00:00,25.98,9449.5,7295.0,0.0,791.0,2109.75
2020-01-03 06:00:00,30.99,10381.25,8332.0,0.0,792.0,2089.0
2020-01-03 07:00:00,29.78,11719.0,9796.0,0.0,791.0,2050.25
2020-01-03 08:00:00,40.54,13003.5,10313.0,8.25,786.25,1987.5
2020-01-03 09:00:00,45.76,13545.25,10564.0,33.0,769.5,1892.5
2020-01-03 10:00:00,47.67,13541.25,10621.0,56.75,744.75,1733.25
2020-01-03 11:00:00,49.17,13401.75,10330.0,74.5,743.5,1581.5
2020-01-03 12:00:00,44.91,13103.5,10353.0,72.25,765.5,1564.0
2020-01-03 13:00:00,39.7,13136.25,10371.0,58.5,782.25,1828.5
2020-01-03 14:00:00,39.04,13170.0,10302.0,42.25,775.0,1974.5
2020-01-03 15:00:00,38.4,13300.25,10281.0,20.5,760.0,1677.25
2020-01-03 16:00:00,38.91,13614.75,10430.0,5.75,729.5,1402.0
2020-01-03 17:00:00,47.45,13934.25,10630.0,0.0,698.0,1251.0
2020-01-03 18:00:00,49.84,13251.5,10612.0,0.0,663.75,1107.75
2020-01-03 19:00:00,45.75,12598.5,10529.0,0.0,649.0,1099.5
2020-01-03 20:00:00,44.48,12081.25,10138.0,0.0,656.75,1116.25
2020-01-03 21:00:00,33.0,11380.75,9603.0,0.0,684.75,1156.25
2020-01-03 22:00:00,38.38,10655.5,9073.0,0.0,702.5,1251.5
2020-01-03 23:00:00,34.3,10094.25,8572.0,0.0,729.0,1344.25
2020-01-04 00:00:00,32.99,9801.25,7740.0,0.0,702.0,1191.75
2020-01-04 01:00:00,30.37,9469.5,7142.0,0.0,736.25,1281.75
2020-01-04 02:00:00,29.56,9232.75,6875.0,0.0,750.75,1354.75
2020-01-04 03:00:00,27.05,9179.0,6713.0,0.0,761.5,1436.5
2020-01-04 04:00:00,25.2,9148.0,6744.0,0.0,772.0,1518.75
2020-01-04 05:00:00,24.52,9245.75,6904.0,0.0,771.0,1603.25
2020-01-04 06:00:00,25.03,9576.25,7150.0,0.0,776.25,1668.75
2020-01-04 07:00:00,27.28,10129.0,7542.0,0.0,783.0,1730.25
2020-01-04 08:00:00,30.0,10836.25,8191.0,65.5,786.75,1779.0
2020-01-04 09:00:00,36.41,11386.0,8613.0,212.75,784.25,1802.25
2020-01-04 10:00:00,30.0,11567.0,8941.0,310.75,780.5,1793.5
2020-01-04 11:00:00,30.0,11315.5,9072.0,357.0,777.0,1776.75
2020-01-04 12:00:00,35.0,11292.5,9106.0,302.0,769.5,1716.5
2020-01-04 13:00:00,32.07,11223.25,9300.0,199.0,746.75,1558.0
2020-01-04 14:00:00,36.8,11309.25,9370.0,108.5,708.5,1387.25
2020-01-04 15:00:00,34.09,11554.75,9372.0,40.0,667.75,1219.25
2020-01-04 16:00:00,34.5,11914.75,9245.0,8.75,646.25,1137.25
2020-01-04 17:00:00,45.0,12303.0,9403.0,0.0,640.0,1080.75
2020-01-04 18:00:00,44.52,11794.25,9542.0,0.0,620.25,1029.0
2020-01-04 19:00:00,45.94,11367.25,9398.0,0.0,564.25,915.0
2020-01-04 20:00:00,41.7,11052.5,9172.0,0.0,489.0,759.75
2020-01-04 21:00:00,34.46,10585.75,8821.0,0.0,427.25,610.0
2020-01-04 22:00:00,39.75,10126.25,8112.0,0.0,357.75,504.5
2020-01-04 23:00:00,37.95,9697.25,7619.0,0.0,303.0,417.75
2020-01-05 00:00:00,33.1,9158.0,8706.0,0.0,130.0,136.75
2020-01-05 01:00:00,32.28,8726.0,7961.0,0.0,120.0,147.25
2020-01-05 02:00:00,31.18,8318.25,7156.0,0.0,115.5,167.25
2020-01-05 03:00:00,30.1,8145.5,6745.0,0.0,127.25,189.25
2020-01-05 04:00:00,29.96,8048.5,6741.0,0.0,163.0,244.0
2020-01-05 05:00:00,29.88,8076.75,6864.0,0.0,206.75,315.0
2020-01-05 06:00:00,30.38,8258.75,6928.0,0.0,253.5,375.75
2020-01-05 07:00:00,31.15,8536.0,7526.0,0.0,292.75,421.0
2020-01-05 08:00:00,32.09,9167.75,7883.0,49.5,359.75,468.25
2020-01-05 09:00:00,34.27,9613.75,8912.0,184.5,425.25,501.75
2020-01-05 10:00:00,37.53,9578.25,9264.0,317.25,428.5,548.5
2020-01-05 11:00:00,38.99,9349.25,8924.0,412.75,436.0,622.5
2020-01-05 12:00:00,38.15,9593.5,9400.0,436.0,453.5,665.5
2020-01-05 13:00:00,35.37,9937.25,9657.0,364.0,466.75,656.75
2020-01-05 14:00:00,34.44,10261.25,9633.0,226.5,477.25,658.0
2020-01-05 15:00:00,36.1,10651.25,9710.0,87.25,491.5,672.25
