Date,Price,Load_F,Gen_F_Tot,Gen_F_Sol,Gen_F_W_ON
2020-01-01 00:00:00,41.88,23320.0,20957.0,16.0,1486.0
2020-01-01 01:00:00,38.6,22592.0,20383.0,13.0,1543.0
2020-01-01 02:00:00,36.55,21332.0,20218.0,11.0,1595.0
2020-01-01 03:00:00,32.32,20103.0,20510.0,9.0,1621.0
2020-01-01 04:00:00,30.85,19371.0,20809.0,11.0,1632.0
2020-01-01 05:00:00,30.14,19215.0,20710.0,11.0,1666.0
2020-01-01 06:00:00,30.17,19483.0,20823.0,11.0,1679.0
2020-01-01 07:00:00,30.0,19956.0,20847.0,11.0,1568.0
2020-01-01 08:00:00,30.65,19824.0,20917.0,77.0,1426.0
2020-01-01 09:00:00,30.65,19830.0,21608.0,867.0,1301.0
2020-01-01 10:00:00,30.27,21115.0,22902.0,2399.0,1104.0
2020-01-01 11:00:00,30.34,22392.0,24027.0,3676.0,937.0
2020-01-01 12:00:00,30.99,23063.0,24904.0,4472.0,828.0
2020-01-01 13:00:00,30.04,23941.0,24700.0,4845.0,787.0
2020-01-01 14:00:00,30.75,24088.0,24506.0,4774.0,759.0
2020-01-01 15:00:00,32.11,23077.0,24260.0,4366.0,659.0
2020-01-01 16:00:00,35.98,22493.0,22950.0,3124.0,713.0
2020-01-01 17:00:00,40.4,22990.0,22014.0,1242.0,817.0
2020-01-01 18:00:00,44.05,25260.0,21989.0,206.0,893.0
2020-01-01 19:00:00,46.16,26317.0,22550.0,39.0,1056.0
2020-01-01 20:00:00,44.02,27446.0,22272.0,40.0,1219.0
2020-01-01 21:00:00,45.6,27675.0,22718.0,35.0,1400.0
2020-01-01 22:00:00,42.9,26984.0,21984.0,28.0,1601.0
2020-01-01 23:00:00,37.55,24596.0,20992.0,30.0,1804.0
2020-01-02 00:00:00,35.4,22296.0,20915.0,26.0,1777.0
2020-01-02 01:00:00,31.98,20452.0,21180.0,20.0,1912.0
